id,(ru),(en),(nl),(sci),images,ID изображений,Названия файлов,Сложность,Переопределения сложности,Family
100_1,Подсолнечник однолетний,Common Sunflower,Zonnebloem,Helianthus annuus,1,p100_1_1,HelianthusAnnuus_Nature'sBeauty_StockSnap.JPG,,,
100_2,Топинамбур,Jerusalem artichoke,Aardpeer,Helianthus tuberosus,1,p100_2_1,Helianthus_Hard_ShiwaYachachin.JPG,,,
101,Космея,Cosmos,Cosmea,Cosmos bipinnatus,3,"p101_1, p101_2, p101_3","Cosmo_WutthichaiCharoenburi.JPG, Cosmos_RomanBiernacki.JPG, CosmosSulphureus_VietnamPhotographer.JPG",Medium,,Asteraceae
102,Аглаонема,Aglaonema / Chinese evergreen,Aglaonema,Aglaonema,2,"p102_1, p102_2","Aglaonema.JPG, Aglaonema_Gochrisgoxyz.JPG",Easy,,Araceae
103,Примула,Primrose,Sleutelbloem,Primula,1,p103_1,,,,
104,Сцилла,Scilla / Squill,Sterhyacint,Scilla,1,p104_1,Scilla_Grigoriy.JPG,Easy,,Asparagaceae
105,Нарцисс,Daffodil,Narcis,Narcissus,1,p105_1,Narcissus_Grigoriy.JPG,Easy,,Amaryllidaceae
106,Люпин,Lupine,Lupine,Lupinus,0,,,,,Fabaceae
106_1,Люпин многолистный,Large-leaved lupine,Vaste lupine,Lupinus polyphyllus,3,"p106_1_1, p106_1_2, p106_1_3","LupinusPolyphyllus_TravelPhotographer_StockSnap.JPG, LupinusPolyphyllus_EfremEfre.JPG, LupinusPolyphyllus_YuliaZiablova.JPG",,,Fabaceae
106_2,Люпин широколистный,Broadleaf lupine,Lupinus latifolius,Lupinus latifolius,1,p106_2_1,LupinusLatifolius_Nature'sBeauty_StockSnap.JPG,Medium,,Fabaceae
106_3,Люпин Rivularis,Riverbank lupine,Lupinus Rivularis,Lupinus Rivularis,1,p106_3_1,LupinusRivularis_Pixabay.JPG,,,
106_4,Люпин волосистый,Blue lupine,Lupinus pilosus,Lupinus pilosus,1,p106_4_1,LupinusPilosus_Moshehar_Pixabay.JPG,,,
107,Мускари,Grape hyacinth,Blauwe druifjes,Muscari,3,"p107_1, p107_2, p107_3","Muscari_RomanBiernacki3.JPG, MuscariArmeniacum_MarinaPershina_StockSnap.JPG, Muscari_Iriser_Pexels.JPG",Easy,,Asparagaceae
108,Пеларгония (Герань),Geranium (Pelargonium),Geranium / Pelargonium,Pelargonium,1,p108_1,Pelargonium_JuliaFilirovska.JPG,Easy,,Geraniaceae
109,Калибрахоа,Calibrachoa / Million bells,Calibrachoa,Calibrachoa,1,p109_1,Calibrachoa_SergejKarpow.JPG,Medium,,Solanaceae
110,Колеус,Coleus,Siernetel,Coleus,4,"p110_1, p110_2, p110_3, p110_4","Coleus_hartonoubagio.JPG, Coleus_GustavoPeres.JPG, Coleus_Pexels_HartonoSubagio.JPG, Coleus_Nature'sBeauty_StockSnap.JPG",Medium,,Lamiaceae
112,Дельфиниум,Delphinium,Ridderspoor,Delphinium,3,"p112_1, p112_2, p112_3","Delphinium_AravindReddyTarugu.JPG, Delphinium_NurcanAytas.JPG, Delphinium_RebeccaNiver.JPG",Medium,p112_2:Hard,Ranunculaceae
113,Брунера,Brunnera / Siberian bugloss,Kaukasisch vergeet-mij-nietje,Brunnera,1,p113_1,Brunnera_HazelSarmiento.JPG,Medium,,Boraginaceae
114,Береза,Birch,Berk,Betula,1,p114_1,Betula_KirilGruev.JPG,Easy,,Betulaceae
115,Рудбекия,Rudbeckia / Black-eyed Susan,Zonnehoed,Rudbeckia,3,"p115_1, p115_2, p115_3","Rudbeckia_CorwinMelvin.JPG, Rudbekia_JamesLee.JPG, Rudbekia_MaxO.JPG",,,
116,Василёк,Knapweeds,Knoopkruid,Centaurea,1,p116_1,CentaureaKnapweeds_Hard_SiegfriedPoepperl.JPG,Easy,,Asteraceae
116_1,Василёк синий,Cornflower,Korenbloem,Centaurea cyanus,1,p116_1_1,Cornflower_ElizabethOlson.JPG,,,Asteraceae
118,Журавельник (Герань),Hardy Geranium / Crane's-bill,Ooievaarsbek,Geranium,4,"p118_1, p118_2, p118_3, p118_4","Geranium_Hard_TinaNord.JPG, Geranium_Pixabay2.JPG, Geranium_ord6.JPG, Geranium_pixabay.JPG",Medium,,Geraniaceae
119,Маргаритка,English daisy,Tuinmadeliefje,Bellis perennis,3,"p119_0_1, p119_0_2, p119_0_3","Bellis_Pixabay.JPG, Bellis_QL.JPG, Bellis_BobRichards_StockSnap.JPG",Easy,,Asteraceae
120,Дицентра,Bleeding heart,Gebroken hartje,Lamprocapnos (old: Dicentra),2,"p120_1, p120_2","Dicentra_ChrisF.JPG, Dicentra_Nature'sBeauty_StockSnap_JNWPZHC0TY.JPG",Medium,,Papaveraceae
121,Гайлардия,Gaillardia / Blanket flower,Kokardebloem,Gaillardia,2,"p121_1, p121_2","Gaillardia_elineSun.JPG, GaillardiaPulchella_Raybilcliff_Pexel.JPG",Medium,,Asteraceae
122,Галантус,Snowdrop,Sneeuwklokje,Galanthus,1,p122_1,Galanthus_Grigoriy.JPG,Medium,,Amaryllidaceae
123,Целозия,Celosia / Cockscomb,Hanekam,Celosia,3,"p123_1, p123_2, p123_3","Celosia_HartonoSubagio.JPG, Celosia_AliefBaldwin_Pexels.JPG, CelosiaArgentea_MDZULFIQAR_Pexels.JPG",Medium,,Amaranthaceae
124,Опунция,Opuntia / Prickly pear cactus,Schijfcactus,Opuntia,1,p124_1,Opuntia.JPG,Easy,,Cactaceae
125,Ширококолокольчик,Platycodon / Balloon flower,Ballonklokje,Platycodon grandiflorus,1,p125_1,Platycodon_AlexandrBondar.JPG,Medium,,Campanulaceae
126,Эвкалипт,Eucalyptus,Eucalyptus,Eucalyptus,2,"p126_1, p126_2","EucalyptusCinerea_Elletakesphotos_Pexels.JPG, EucalyptusPulverulenta_anandasandra_pixabay.JPG",,,
127,Цинния,Zinnia,Zinnia,Zinnia,3,"p127_1, p127_2, p127_3","Zinnia_SukiLee.JPG, ZinniaElegans_DuyLeDuc_Pexels.JPG, ZinniaElegans_AliefBaldwin_Pexels.JPG",Medium,,Asteraceae
128,Карпобротус съедобный,Pigface / Hottentot fig,Carpobrotus,Carpobrotus edulis,0,,,,,
130,Крокус,Crocus,Krokus,Crocus,2,"p130_1, p130_2","CrocusKirilGruev.JPG, CrocusFlavus_BobRichards_StockSnap.JPG",Easy,,Iridaceae
131,Вероника,Veronica,Ereprijs,Veronica,0,,,Medium,,Plantaginaceae
131_1,?,?,?,Veronica austriaca,1,p131_1,VeronicaAustriaca_TatyanaAleksandrovna.JPG,,,
131_2,?,?,?,Veronica spicata,1,p131_2,Veronica_DiegoFabra.JPG,,,
132,Фризея,Vriesea,Vriesea,Vriesea,0,,,,,
133,Неорегелия,Neoregelia,Neoregelia,Neoregelia,0,,,,,
134,Эхмея,Aechmea,Aechmea,Aechmea,0,,,,,
136,Банксия,Banksia,Banksia,Banksia,0,,,,,
137,Бобовник,Golden chain,Goudenregen,Laburnum,0,,,,,
138,Львиный зев,Snapdragon,Vlambloem / Leeuwenbek,Antirrhinum,0,,,,,
139,Звездчатый жасмин,Star jasmine,Sterjasmijn,Trachelospermum jasminoides,1,p139_1,StarJasmine_EnginAkyurt.JPG,Easy,,Apocynaceae
140,Жимолость татарская,Tatarian honeysuckle,Tartaarse kamperfoelie,Lonicera tatarica,1,p140_1,LoniceraTatarica_Daejeung_Pexels.JPG,,,
141,Софора японская,Japanese pagoda tree,Honingboom,Sophora japonica,0,,,,,
142,Гиацинт,Hyacinth,Hyacint,Hyacinthus,7,"p142_1, p142_2, p142_3, p142_4, p142_5, p142_6, p142_7","Hyacinth_Medium_AsimAlnamat.JPG, Hyacinth_NataliyaVaitkevich.JPG, Hyacinth_RomanBiernacki.JPG, Hyacinth_fox.JPG, Hyacinthus_NataliaSevruk.JPG, Hyacinthus_KellyIshmael_StockSnap.JPG, Hyacinthus_Pezibear_Pixabay.JPG",Easy,p142_1:Medium,Asparagaceae
144,Астильба,Astilbe,Astilbe,Astilbe,0,,,,,
145,Агростемма,Corncockle,Bolderik,Agrostemma,0,,,,,
146,Клевер,Red Clover,Rode klaver,Trifolium pratense,2,"p146_1, p146_2","Clover_YanaKuyan.JPG, TrifoliumPratense.JPG",Easy,,Fabaceae
147,Молодило,Houseleek,Huislook,Sempervivum,0,,,,,
148,Фатсия,Fatsia,Fatsia,Fatsia,0,,,,,
149,Пахира,Pachira,Pachira,Pachira,0,,,,,
150,Шалфей,Sage,Salie,Salvia,2,"p150_1, p150_2","SalviaOfficinalis_TravelPhotographer_StockSnap.JPG, SalviaOfficinalis2_TravelPhotographer_StockSnap.JPG",,,Lamiaceae
150_1,Шалфей лекарственный,Common sage,Tuin salie,Salvia officinalis,2,"p150_1_1, p150_1_2","SalviaOfficinalis_TravelPhotographer_StockSnap.JPG, SalviaOfficinalis2_TravelPhotographer_StockSnap.JPG",,,Lamiaceae
150_2,Шалфей луговой,Meadow sage,Veldsalie,Salvia pratensis,1,p150_2_1,SalviaPratensis_BrettSayles_Pexels.JPG,Medium,,Lamiaceae
150_3,?,?,?,Salvia farinacea,1,p150_3_1,SalviaFarinacea_AliefBaldwin_Pexels.JPG,,,
150_4,?,?,?,Salvia rosmarinus,1,p150_4_1,SalviaRosmarinus.JPG,,,
151,Плектрантус,Plectranthus,Plectranthus,Plectranthus,0,,,,,
152,Мальва,Common mallow,Kaasjeskruid,Malva,2,"p152_1, p152_2","MalvaSylvestris_TravelPhotographer_StockSnap.JPG, MalvaSylvestris_Mary_StockSnap.JPG",,,
153,Кизил,Flowering Dogwood,Oostamerikaanse kornoelje,Cornus Florida,3,"p153_1, p153_2, p153_3","CornusFlorida.JPG, CornusFlorida_MohanNannapaneni_Pexels.JPG, CornusFlorida_KellyIshmael_StockSnap.JPG",Medium,,Cornaceae
154,Эджевортия,Edgeworthia,Edgeworthia,Edgeworthia chrysantha,0,,,,,
155,Ангелония,Angelonia,Angelonia,Angelonia,1,p155_1,Angelonia_AliefBaldwin.JPG,Hard,,Plantaginaceae
156,Артишок,Artichoke,Artisjok,Cynara cardunculus,2,"p156_1, p156_2",Artichoke_MarkusWinkler.JPG,Easy,,Asteraceae
157,Жасмин многоцветковый,Jasmine,Jasmijn,Jasminum polyanthum,1,p157_1,JasminumPolyanthum_Enginakyurt.JPG,Easy,,Oleaceae
158,Санчезия,Sanchezia,Sanchezia,Sanchezia,1,p158_1,Sanchezia_SallyWilliams.JPG,Hard,,Acanthaceae
159,Агератум,Ageratum,Ageratum,Ageratum,2,"p159_1, p159_2","Ageratum_AshMoore.JPG, Ageratum_Nennieinszweidrei_Pixabay.JPG",Medium,,Asteraceae
160,Аквилегия,Columbine,Akelei,Aquilegia vulgaris,1,p160_1,AquilegiaVulgaris_Diana.JPG,Medium,,Ranunculaceae
161,Обриета,Aubrieta,Blauwkussen,Aubrieta,1,p161_1,Aubrieta_MarcinManka.JPG,Hard,,Brassicaceae
162,Катарантус,Catharanthus,Catharanthus,Catharanthus,1,p162_1,CatharanthusRoseus_LeonHuang.JPG,Hard,,Apocynaceae
163,Фитония,Fittonia,Fittonia,Fittonia,2,"p163_1, p163_2","Fittonia_MarinaZasorina.JPG, Fittonia_KaiyaInouye_Pexels.JPG",Medium,,Acanthaceae
164,Дымянка,Fumitory,Duivenkervel,Fumaria,1,p164_1,Fumaria_Tugba.JPG,Medium,,Papaveraceae
165,Морозник,Hellebore,Nieskruid,Helleborus,1,p165_1,Helleborus_Aaronburden.JPG,Easy,,Ranunculaceae
166,Шток-роза,Hollyhock,Stokroos,Alcea,1,p166_1,Stokrose_NikolettEmmert.JPG,Medium,,Malvaceae
167,Цикорий,Chicory,Wilde Cichorei,Cichorium Intybus,1,p167_1,CichoriumIntybus_Manfredrichter_pixabay.JPG,Medium,,
168,Кувшинка,Water Lily,Waterlelie,Nymphaea,2,"p168_1, p168_2","WaterLily_Amitrai10.JPG, Nymphaeaceae_BobRichards_StockSnap.JPG",Easy,,
169,Амарант,Amaranth,Amarant,Amaranthus,1,p169_1,AmaranthusCruentus_JuliaFilirovska.JPG,Medium,,Amaranthaceae
169_1,Амарант багряный,Red amaranth,Rode amarant,Amaranthus cruentus,1,p169_1_1,AmaranthusCruentus_JuliaFilirovska.JPG,,,Amaranthaceae
169_2,Амарант тёмный (печальный),Prince's-feather,Amaranthus hypochondriacus,Amaranthus hypochondriacus,1,p169_2_1,Amaranth_LevStrelchenko.jpg,Hard,,Amaranthaceae
171,Цеанотус (краснокоренник) вдавленный,Santa Barbara ceanothus,Amerikaanse sering,Ceanothus Impressus,2,"p171_1, p171_2","CeanothusImpressus_SonnySixteen.jpg, Ceanothus2_SonnySixteen_Pexels.JPG",Hard,,
172,Бересклет,Spindle tree,Kardinaalsmuts,Euonymus,1,p172_1,Euonymus.JPG,Medium,,
173,Хебе,Hebe,Hebe (struikveronica),Hebe,0,,,Hard,,
173_1,Хебе красивая,Showy hebe / Shrubby veronica,Struikveronica,Hebe speciosa,1,p173_1_1,HebeSpeciosa.JPG,,,
174,Алоэ складчатое,Fan aloe,Waaier-aloë,Kumara Plicatilis,1,p174_1,KumaraPlicatilis_MargalitToyber_Unsplash.JPG,Hard,,
175,Левизия котиледон (туполистная),Siskiyou lewisia,Lewisia,Lewisia Cotyledon,1,p175_1,LewisiaCotyledon .JPG,Hard,,
176,Павловния,Paulownia / Princess tree,Anna Paulownaboom,Paulownia,1,p176_1,Paulownia_SevalTorun.jpg,Medium,,
177,Фацелия,Phacelia / Scorpionweed,Phacelia,Phacelia,1,p177_1,Phacelia_MarkusSpiske.JPG,Medium,,
178,Лавровишня,Cherry laurel,Laurierkers,Prunus Laurocerasus,4,"p178_1, p178_2, p178_3, p178_4","PrunusLaurocerasus_Hans2.jpg, PrunusLaurocerasus_Hans_Pixabay.jpg, PrunusLaurocerasus_LMoonLight.jpg, PrunusLaurocerasus_Marc-R2.jpg",Medium,,
179,Пираканта алая,Firethorn / Scarlet firethorn,Vuurdoorn,Pyracantha Coccinea,1,p179_1,PyracanthaСoccinea.JPG,Medium,,
181,Одуванчик,Dandelion,Paardenbloem,Taraxacum Officinale,1,p181_1,TaraxacumOfficinale_Pexels-DawidZawila.JPG,Easy,,
183,Антуриум,Anthurium / Flamingo flower,Flamingoplant,Anturium,1,p183_1,Anturium_FabianoCardoso_Pexels.JPG,Medium,,
184,Вереск,Heather,Struikheide,Calluna,1,p184_1,Calluna_Mary_StockSnap.JPG,Medium,,
185,Эшшольция калифорнийская,California poppy,Californische klaproos,Eschscholzia Californica,1,p185_1,EschscholziaCalifornica_MattBango_StockSnap.JPG,Medium,,
186,Гелениум осенний,Sneezeweed,Zonnekruid,Helenium Autumnale,3,"p186_1, p186_2, p186_3","HeleniumAutumnale_TravelPhotographer_StockSnap.JPG, HeleniumAutumnale2_TravelPhotographer_StockSnap.JPG, HeleniumAutumnale_Nature'sBeauty_StockSnap.JPG",Medium,,
187,Геликония попугайная,Parrot’s flower / Parrot heliconia,Papegaaienbloem,Heliconia Psittacorum,1,p187_1,HeliconiaPsittacorum_HartonoSubagio_Pexels.JPG,Hard,,
188,Каланхоэ Блоссфельда,Flaming Katy / Kalanchoe,Flamingoplantje / Kalanchoë,Kalanchoe Blossfeldiana,2,"p188_1, p188_2","KalanchoeBlossfeldiana_HazelSarmiento.JPG, KalanchoeBlossfeldiana_HazelSarmiento_Hard.JPG",Medium,p188_2:Hard,
189,Земляника садовая,Strawberry,Aardbei,Fragaria × ananassa,1,p189_1,Strawberry_Couleur_Pixabay.JPG,Easy,,
190,Декабрист,Christmas cactus,Kerstcactus,Schlumbergera Truncata,1,p190_1,SchlumbergeraTruncata_TravelPhotographer_StockSnap.JPG,Easy,,
191,Ландыш майский,Lily of the valley,Lelietje-van-dalen,Convallaria Majalis,1,p191_1,ConvallariaMajalis_Mary_StockSnap.JPG,Medium,,
193,Смолёвка халцедоновая,Maltese cross,Brandende liefde,Silene chalcedonica,1,p193_1,SileneChalcedonica_Nature'sBeauty_StockSnap.JPG,Hard,,
194,Гелихризум сухоцвет,Strawflower / Golden everlasting,Strobloem,Xerochrysum bracteatum,2,"p194_1, p194_2","XerochrysumBracteatum_MacroMama_StockSnap.JPG, Xerochrysum_MohanNannapaneni_Pexels.JPG",Medium,,
195,Львиный зев,Snapdragon,Leeuwebek,Antirrhinum majus,1,p195_1,AntirrhinumMajus_VintageRS_StockSnap.JPG,Easy,,
196,Юстиция розовая,Brazilian plume flower,Braziliaanse pluim,Justicia carnea,1,p196_1,JusticiaCarnea_HartonoSubagio_Pexels.JPG,Hard,,
197,Аихризон,Aichryson / Houseleek tree,Vetplantje / Aichryson,Aichryson,1,p197_1,Aichryson.JPG,Hard,,
200,Кориандр (кинза),Coriander / Cilantro,Koriander,Coriandrum sativum,1,p200_1,Coriandrum_RajeshSBalouria_Pexels.JPG,Easy,,
201,Барвинок малый,Lesser periwinkle,Kleine maagdenpalm,Vinca Minor,2,"p201_1, p201_2","VincaMinor_ChristyRice_Pexels.JPG, VincaMinor_Kaboompics_Pexels.JPG",Medium,,
202,Прострел,Pasque flower,Wildemanskruid,Pulsatilla,1,p202_1,,Medium,,
203,Катальпа,Catalpa,Trompetboom,Catalpa,1,p203_1,,Medium,,
204,Маниок,Cassava,Cassave,Cassava,1,p204_1,,Medium,,
205,Очиток,Stonecrop (Sedum),Vetkruid (Sedum),Sedum,1,p205_1,,Medium,,
206,Спатифиллум,Peace lily,Lepelplant,Spathiphyllum,1,p206_1,,Easy,,
207,Алиссум (бурачок),Alyssum (Sweet alyssum),Schildzaad,Alyssum,1,p207_1,,Easy,,
208,Гелиантемум (солнечник),Sunrose (rock rose),Zonneroosje,Helianthemum,1,p208_1,,Medium,,
209,Стробилантес,Strobilanthes (Persian shield),Strobilanthes,Strobilanthes,1,p209_1,,Hard,,
210,Валериана,Valerian,Valeriaan,Valeriana,1,p210_1,,Medium,,
211,Калина,Viburnum,Sneeuwbal,Viburnum,1,p211_1,,Medium,,
212,Виноград,Grape vine,Wijnstok (Druif),Vitis vinifera,1,p212_1,,Medium,,
213,Уитфилдия,Whitfieldia (Whitefieldia),Whitfieldia,Whitfieldia,1,p213_1,,Hard,,
214,Укроп,Dill,Dille,Anethum graveolens,1,p214_1,,Easy,,
215,Баухиния,Orchid tree,Orchideeënbloem (Bauhinia),Bauhinia,1,p215_1,,Medium,,
216,Барбарис,Barberry,Berberis,Berberis,1,p216_1,,Medium,,
217,Крокосмия (монбреция),Montbretia (Crocosmia),Montbretia,Crocosmia,1,p217_1,,Medium,,
218,Тыква,Pumpkin,Pompoen,Cucurbita pepo,1,p218_1,,Easy,,
219,Цикламен,Cyclamen,Alpenviooltje,Cyclamen,1,p219_1,,Medium,,
220,Дуранта,Sky flower (Golden dewdrop),Duranta,Duranta repens,1,p220_1,,Medium,,
221,Эрантис (весенник),Winter aconite,Winterakoniet,Eranthis,1,p221_1,,Medium,,
222,Чистяк (лютик) весенний,Lesser celandine,Speenkruid,Ficaria,1,p222_1,,Medium,,
223,Фуксия,Fuchsia,Fuchsia,Fuchsia,1,p223_1,,Easy,,
224,Плющ обыкновенный,English ivy,Klimop,Hedera helix,1,p224_1,,Easy,,
225,Ипомея,Morning glory,Winde (Ipomoea),Ipomoea,1,p225_1,,Medium,,
226,Ятрофа,Peregrina,Jatropha,Jatropha integerrima,1,p226_1,,Medium,,
227,Копсия,Kopsia,Kopsia,Kopsia,1,p227_1,,Hard,,
228,Лавр благородный,Bay laurel,Laurier,Laurus nobilis,1,p228_1,,Medium,,
229,Бадьян (анисовое дерево),Japanese star anise,Japanse steranijs,Illicium anisatum,1,p229_1,,Hard,,
230,Ликорис лучистый,Red spider lily,Rode spinlelie,Lycoris radiata,1,p230_1,,Medium,,
231,Монарда двойчатая,Bee balm (Bergamot),Bergamotplant,Monarda didyma,1,p231_1,,Medium,,
232,Кубышка жёлтая,Yellow water-lily,Gele plomp,Nuphar lutea,1,p232_1,,Medium,,
233,Пахистахис,Golden shrimp plant,Gele kegelplant,Pachystachys,2,"p233_1, p233_2",,Hard,,
234,Остролист (падуб),Holly,Hulst,Ilex aquifolium,2,"p234_1, p234_2",,Medium,,
235,Кислица треугольная,False shamrock,Driehoekklaver,Oxalis triangularis,1,p235_1,,Easy,,
236,Девичий виноград пятилисточковый,Virginia creeper,Wilde wingerd,Parthenocissus quinquefolia,1,p236_1,,Medium,,
237,Петрея,Queen’s wreath,Kransbloem,Petrea volubilis,1,p237_1,,Hard,,
